Input,Answer,Confidence,All answers,Answer_3_classes,ChatGPT-4 5 classes,ChatGPT-4 3 classes,Model_agreement_with_human,model_agreement_with_human_3_classes,ChatGPT-3.5 5 classes,ChatGPT-3.5 3 classes,LLaMA 5 classes,LLaMA 3 classes,LLaMA 70B 5 classes,LLaMA 70B 3 classes,deberta-v3-large-nli_3_classes,Model_agreement_with_human_gpt3.5_turbo,model_agreement_with_human_3_classes_gpt3.5_turbo,Model_agreement_with_human_LLaMA_8B,Model_agreement_with_human_3_classes_LLaMA_8B,Model_agreement_with_human_LLaMA_70B,Model_agreement_with_human_3_classes_LLaMA_70B,Model_agreement_with_human_3_classes_deberta_nli,human_human_agreement,human_crowd_wisdom_agreement,chatgpt4_crowd_wisdom_agreement,chatgpt3_5_crowd_wisdom_agreement,llama_8b_crowd_wisdom_agreement,llama_70b_crowd_wisdom_agreement,chatgpt4_individuals_agreement,chatgpt3_5_individuals_agreement,llama_8b_individuals_agreement,llama_70b_individuals_agreement,Annotator_explanations,Explanations,Who_explained,NLI_ChatGPT4_turbo,Avg_synthetic_agreement,LLaMA 8B 5 runs,LLaMA 70B 5 runs,Llama 8B majority,Llama 70B majority,ChatGPT-3.5 5 runs,ChatGPT-4 5 runs,ChatGPT-3.5 majority,ChatGPT-4 majority,Llama 8B majority 3 class,Llama 70B majority 3 class,ChatGPT-3.5 majority 3 class,ChatGPT-4 majority 3 class,bart_NLI,ChatGPT-4 Confidence,ChatGPT-3.5 Confidence,LLaMA 8B Confidence,LLaMA 70B Confidence
"Text 1: Healthcare professionals must rely on biological data over self-identification.

Text 2: Trans-inclusive policies are essential for equity.",Factual inconsistency,40.0,"['Unrelated', 'Indirect inconsistency', 'Surface contradiction', 'Factual inconsistency', 'Factual inconsistency']",Inconsistent,Indirect inconsistency,Inconsistent,0.2,0.8,Indirect inconsistency,Inconsistent,Factual inconsistency,Inconsistent,Indirect inconsistency,Inconsistent,Inconsistent,0.2,0.8,0.4,0.8,0.2,0.8,0.8,0.1,0.0,0.0,0.0,0.6,0.0,0.2,0.2,0.4,0.2,0,0,0,Unrelated,0.3,"['Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Factual inconsistency,Indirect inconsistency,"['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Surface contradiction', 'Surface contradiction']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Indirect inconsistency,Indirect inconsistency,Inconsistent,Inconsistent,Inconsistent,Inconsistent,Inconsistent,100,60,100,100
"Text 1: We believe that NATO's purpose is to provide collective defense, primarily against threats like Russia.

Text 2: We disagree with imposing stricter sanctions on Russia and believe it is justified for us to continue economic partnership.",Factual inconsistency,50.0,"['Factual inconsistency', 'Unrelated', 'Factual inconsistency', 'Factual inconsistency', 'Indirect inconsistency', 'Surface contradiction']",Inconsistent,Indirect inconsistency,Inconsistent,0.1666666666666666,0.8333333333333334,Surface contradiction,Inconsistent,Indirect inconsistency,Inconsistent,Indirect inconsistency,Inconsistent,Inconsistent,0.1666666666666666,0.8333333333333334,0.1666666666666666,0.8333333333333334,0.1666666666666666,0.8333333333333334,0.8333333333333334,0.2,0.5,0.0,0.0,0.0,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.1666666666666666,0,0,0,Unrelated,0.75,"['Indirect inconsistency', 'Unrelated', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Indirect inconsistency,Indirect inconsistency,"['Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Surface contradiction,Indirect inconsistency,Inconsistent,Inconsistent,Inconsistent,Inconsistent,Inconsistent,100,100,80,100
"Text 1: People without valid residence documents should have access to anonymous medical care.

Text 2: The European Union should set higher targets for reducing CO2 emissions.",Unrelated,100.0,"['Unrelated', 'Unrelated', 'Unrelated', 'Unrelated', 'Unrelated']",Unrelated,Unrelated,Unrelated,1.0,1.0,Unrelated,Unrelated,Unrelated,Unrelated,Unrelated,Unrelated,Consistent,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,Unrelated,1.0,"['Unrelated', 'Consistent', 'Consistent', 'Consistent', 'Consistent']","['Unrelated', 'Unrelated', 'Unrelated', 'Unrelated', 'Unrelated']",Consistent,Unrelated,"['Unrelated', 'Unrelated', 'Unrelated', 'Unrelated', 'Unrelated']","['Unrelated', 'Unrelated', 'Unrelated', 'Unrelated', 'Unrelated']",Unrelated,Unrelated,Consistent,Unrelated,Unrelated,Unrelated,Consistent,100,100,80,100
"Text 1: We support the mandatory involvement of children and young people in all decisions that affect them within every community.

Text 2: Lowering the voting age in municipal elections to 16 years is not necessary.",Indirect inconsistency,80.0,"['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Factual inconsistency', 'Indirect inconsistency']",Inconsistent,Indirect inconsistency,Inconsistent,0.8,1.0,Surface contradiction,Inconsistent,Indirect inconsistency,Inconsistent,Indirect inconsistency,Inconsistent,Inconsistent,0.0,1.0,0.8,1.0,0.8,1.0,1.0,0.6,0.8,1.0,0.0,1.0,1.0,0.8,0.0,0.8,0.8,0,0,0,Unrelated,1.0,"['Indirect inconsistency', 'Unrelated', 'Unrelated', 'Unrelated', 'Unrelated']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Unrelated,Indirect inconsistency,"['Surface contradiction', 'Surface contradiction', 'Factual inconsistency', 'Factual inconsistency', 'Surface contradiction']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Surface contradiction,Indirect inconsistency,Unrelated,Inconsistent,Inconsistent,Inconsistent,Consistent,100,60,80,100
"Text 1: We want to provide best conditions for unicorn companies and transnational corporations to emerge in the EU.

Text 2: Each member of the EU has a right to set its own business regulations.",Indirect inconsistency,80.0,"['Indirect inconsistency', 'Unrelated', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Inconsistent,Unrelated,Unrelated,0.2,0.2,Factual inconsistency,Inconsistent,Unrelated,Consistent,Indirect inconsistency,Inconsistent,Inconsistent,0.0,0.8,0.2,0.0,0.8,0.8,0.8,0.6,0.8,0.0,0.0,0.0,1.0,0.2,0.0,0.2,0.8,0,0,0,Unrelated,1.0,"['Unrelated', 'Unrelated', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Factual inconsistency,Indirect inconsistency,"['Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency']","['Consistent', 'Unrelated', 'Unrelated', 'Unrelated', 'Unrelated']",Factual inconsistency,Unrelated,Inconsistent,Inconsistent,Inconsistent,Unrelated,Inconsistent,80,100,60,100
"Text 1: We advocate for universities to strengthen their collaboration with the business sector.

Text 2: Collaboration with industry leads to third-party funds in the long term, which influence the freedom of teaching.",Indirect inconsistency,60.0,"['Indirect inconsistency', 'Consistent', 'Factual inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Inconsistent,Indirect inconsistency,Consistent,0.6,0.2,Indirect inconsistency,Inconsistent,Factual inconsistency,Consistent,Indirect inconsistency,Consistent,Inconsistent,0.6,0.8,0.2,0.2,0.6,0.2,0.8,0.3,0.6,1.0,1.0,0.0,1.0,0.6,0.6,0.2,0.6,0,0,0,Unrelated,0.8,"['Factual inconsistency', 'Indirect inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Factual inconsistency,Indirect inconsistency,"['Indirect inconsistency', 'Surface contradiction', 'Indirect inconsistency', 'Indirect inconsistency', 'Factual inconsistency']","['Indirect inconsistency', 'Indirect inconsistency', 'Unrelated', 'Unrelated', 'Indirect inconsistency']",Indirect inconsistency,Indirect inconsistency,Inconsistent,Inconsistent,Inconsistent,Inconsistent,Inconsistent,60,60,80,100
"Text 1: Skyscrapers are a symbol of progress and modernization.

Text 2: Urban sprawl must be limited to preserve green spaces.",Unrelated,40.0,"['Unrelated', 'Unrelated', 'Consistent', 'Indirect inconsistency', 'Indirect inconsistency']",Unrelated,Unrelated,Unrelated,0.4,0.4,Surface contradiction,Inconsistent,Consistent,Unrelated,Indirect inconsistency,Inconsistent,Inconsistent,0.0,0.4,0.2,0.4,0.4,0.4,0.4,0.2,0.0,0.6,0.0,0.0,0.4,0.4,0.0,0.2,0.4,0,0,0,Unrelated,0.7,"['Consistent', 'Consistent', 'Unrelated', 'Unrelated', 'Unrelated']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Unrelated,Indirect inconsistency,"['Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Indirect inconsistency', 'Surface contradiction']","['Unrelated', 'Unrelated', 'Unrelated', 'Indirect inconsistency', 'Unrelated']",Surface contradiction,Unrelated,Unrelated,Inconsistent,Inconsistent,Unrelated,Inconsistent,80,80,60,100
"Text 1: Companies should be able to choose freely whom to hire and on which conditions.

Text 2: We will ensure that the minimum wage is paid for compulsory internships.",Indirect inconsistency,60.0,"['Indirect inconsistency', 'Indirect inconsistency', 'Surface contradiction', 'Indirect inconsistency', 'Factual inconsistency']",Inconsistent,Indirect inconsistency,Inconsistent,0.6,1.0,Surface contradiction,Inconsistent,Indirect inconsistency,Inconsistent,Indirect inconsistency,Inconsistent,Inconsistent,0.2,1.0,0.6,1.0,0.6,1.0,1.0,0.3,0.6,1.0,0.0,1.0,1.0,0.6,0.2,0.6,0.6,0,0,0,Unrelated,0.9,"['Indirect inconsistency', 'Unrelated', 'Unrelated', 'Unrelated', 'Unrelated']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Unrelated,Indirect inconsistency,"['Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction']","['Indirect inconsistency', 'Unrelated', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Surface contradiction,Indirect inconsistency,Unrelated,Inconsistent,Inconsistent,Inconsistent,Inconsistent,80,100,80,100
"Text 1: We advocate for the introduction of a mandatory women's quota on supervisory boards and executive boards.

Text 2: We favor equal opportunities for women.",Consistent,100.0,"['Consistent', 'Consistent', 'Consistent', 'Consistent', 'Consistent']",Consistent,Consistent,Consistent,1.0,1.0,Consistent,Consistent,Consistent,Consistent,Consistent,Consistent,Inconsistent,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,Entailment,1.0,"['Consistent', 'Consistent', 'Consistent', 'Consistent', 'Consistent']","['Consistent', 'Consistent', 'Consistent', 'Consistent', 'Consistent']",Consistent,Consistent,"['Consistent', 'Consistent', 'Consistent', 'Indirect inconsistency', 'Consistent']","['Consistent', 'Consistent', 'Consistent', 'Consistent', 'Consistent']",Consistent,Consistent,Consistent,Consistent,Consistent,Consistent,Consistent,100,80,100,100
"Text 1: State-owned companies generally function worse than private companies.

Text 2: We strongly support the nationalization of all banks.",Factual inconsistency,60.0,"['Surface contradiction', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Indirect inconsistency']",Inconsistent,Indirect inconsistency,Inconsistent,0.2,1.0,Factual inconsistency,Inconsistent,Factual inconsistency,Inconsistent,Indirect inconsistency,Inconsistent,Inconsistent,0.6,1.0,0.6,1.0,0.2,1.0,1.0,0.3,0.6,0.0,1.0,1.0,0.0,0.2,0.6,0.6,0.2,0,0,0,Unrelated,0.7,"['Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Factual inconsistency,Indirect inconsistency,"['Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Factual inconsistency,Indirect inconsistency,Inconsistent,Inconsistent,Inconsistent,Inconsistent,Inconsistent,100,100,100,100
"Text 1: Our public services will thrive post-Brexit with regained resources.

Text 2: EU healthcare professionals are integral to our health system.",Indirect inconsistency,80.0,"['Factual inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Inconsistent,Indirect inconsistency,Inconsistent,0.8,1.0,Surface contradiction,Inconsistent,Factual inconsistency,Inconsistent,Indirect inconsistency,Inconsistent,Inconsistent,0.0,1.0,0.2,1.0,0.8,1.0,1.0,0.6,0.8,1.0,0.0,0.0,1.0,0.8,0.0,0.2,0.8,0,"['The inconsistency lies in thinking the public services will improve after brexit even though there is a huge potential bad impact on healthcare (which is also a public service) due to the fact that professionals from EU in healthcare will find trouble in staying in the country.', ""If we can thrive post Brexit with our own healthcare systems this doesn't align with taking EU healthcare workers""]","['v1', 'v2']",Unrelated,1.0,"['Factual inconsistency', 'Unrelated', 'Unrelated', 'Unrelated', 'Unrelated']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Unrelated,Indirect inconsistency,"['Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Factual inconsistency']","['Consistent', 'Consistent', 'Consistent', 'Indirect inconsistency', 'Consistent']",Surface contradiction,Consistent,Unrelated,Inconsistent,Inconsistent,Consistent,Consistent,80,80,80,100
"Text 1: Collecting discarded food from supermarket dumpsters should remain illegal.

Text 2: We advocate for the construction of additional shelters to assist those in need.",Indirect inconsistency,60.0,"['Indirect inconsistency', 'Unrelated', 'Unrelated', 'Indirect inconsistency', 'Indirect inconsistency']",Inconsistent,Consistent,Consistent,0.0,0.0,Factual inconsistency,Inconsistent,Unrelated,Unrelated,Indirect inconsistency,Unrelated,Inconsistent,0.0,0.6,0.4,0.4,0.6,0.4,0.6,0.4,0.4,0.0,0.0,0.2,0.8,0.0,0.0,0.4,0.6,0,0,0,Unrelated,0.7,"['Unrelated', 'Unrelated', 'Consistent', 'Consistent', 'Consistent']","['Indirect inconsistency', 'Unrelated', 'Unrelated', 'Unrelated', 'Unrelated']",Consistent,Unrelated,"['Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Indirect inconsistency', 'Factual inconsistency']","['Unrelated', 'Unrelated', 'Unrelated', 'Unrelated', 'Unrelated']",Factual inconsistency,Unrelated,Consistent,Unrelated,Inconsistent,Unrelated,Inconsistent,100,80,60,80
"Text 1: Teaching must reflect the complexity of society.

Text 2: We support the idea that education in schools should be aligned with the traditional family model of father, mother, and children.",Indirect inconsistency,100.0,"['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Inconsistent,Indirect inconsistency,Inconsistent,1.0,1.0,Surface contradiction,Inconsistent,Indirect inconsistency,Inconsistent,Indirect inconsistency,Inconsistent,Inconsistent,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0,"['Text 1 and Text 2 represent an indirect inconsistency because they differ on teaching ideology. Text 2 supports teaching a traditional family model, while Text 2 supports teaching that reflects the complexity of society, which would involve teaching beyond the traditional family model']",['v5'],Unrelated,1.0,"['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Indirect inconsistency,Indirect inconsistency,"['Surface contradiction', 'Factual inconsistency', 'Indirect inconsistency', 'Surface contradiction', 'Surface contradiction']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Surface contradiction,Indirect inconsistency,Inconsistent,Inconsistent,Inconsistent,Inconsistent,Inconsistent,100,60,100,100
"Text 1: We propose reducing financial assistance for economically weaker regions in the EU.

Text 2: The principle of solidarity in the EU must also apply to economics.",Surface contradiction,66.667,"['Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Indirect inconsistency', 'Consistent']",Inconsistent,Indirect inconsistency,Inconsistent,0.1666666666666666,0.8333333333333334,Factual inconsistency,Inconsistent,Factual inconsistency,Inconsistent,Indirect inconsistency,Inconsistent,Inconsistent,0.0,0.8333333333333334,0.0,0.8333333333333334,0.1666666666666666,0.8333333333333334,0.8333333333333334,0.4,0.6666666666666666,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.1666666666666666,0,0,0,Unrelated,1.0,"['Factual inconsistency', 'Indirect inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Factual inconsistency,Indirect inconsistency,"['Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Factual inconsistency,Indirect inconsistency,Inconsistent,Inconsistent,Inconsistent,Inconsistent,Consistent,100,100,80,100
"Text 1: Parents should be allowed to exclude their child from participating in cultural or sports programs at school.

Text 2: Visiting a memorial site commemorating the crimes of National Socialism should be compulsory for all schoolchildren.",Surface contradiction,60.0,"['Indirect inconsistency', 'Surface contradiction', 'Indirect inconsistency', 'Surface contradiction', 'Surface contradiction']",Inconsistent,Indirect inconsistency,Inconsistent,0.4,1.0,Surface contradiction,Inconsistent,Unrelated,Inconsistent,Indirect inconsistency,Inconsistent,Inconsistent,0.6,1.0,0.0,1.0,0.4,1.0,1.0,0.4,0.0,0.6,0.4,0.0,0.6,0.4,0.6,0.0,0.4,0,0,0,Unrelated,0.7,"['Unrelated', 'Unrelated', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Indirect inconsistency,Indirect inconsistency,"['Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Indirect inconsistency']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Surface contradiction,Indirect inconsistency,Inconsistent,Inconsistent,Inconsistent,Inconsistent,Inconsistent,100,80,60,100
"Text 1: Parents who do not use a daycare place for their children should receive a childcare allowance.

Text 2: Parents should have a choice between a daycare place and their own parental care for the children.",Consistent,83.333,"['Consistent', 'Consistent', 'Consistent', 'Consistent', 'Unrelated', 'Consistent']",Consistent,Consistent,Consistent,0.8333333333333334,0.8333333333333334,Consistent,Consistent,Consistent,Consistent,Consistent,Consistent,Consistent,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.8333333333333334,1.0,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0,0,0,Unrelated,1.0,"['Consistent', 'Consistent', 'Consistent', 'Consistent', 'Consistent']","['Consistent', 'Consistent', 'Consistent', 'Consistent', 'Consistent']",Consistent,Consistent,"['Consistent', 'Indirect inconsistency', 'Consistent', 'Consistent', 'Consistent']","['Consistent', 'Consistent', 'Consistent', 'Consistent', 'Consistent']",Consistent,Consistent,Consistent,Consistent,Consistent,Consistent,Consistent,100,80,100,100
"Text 1: Teachers deserve higher salaries to reflect their importance.

Text 2: Education budgets should prioritize infrastructure.",Indirect inconsistency,60.0,"['Indirect inconsistency', 'Unrelated', 'Indirect inconsistency', 'Consistent', 'Indirect inconsistency']",Inconsistent,Indirect inconsistency,Consistent,0.6,0.2,Indirect inconsistency,Inconsistent,Consistent,Unrelated,Indirect inconsistency,Inconsistent,Consistent,0.6,0.6,0.2,0.2,0.6,0.6,0.2,0.3,0.6,1.0,1.0,0.0,1.0,0.6,0.6,0.2,0.6,0,"['There is a conflict about stablishing a priority according to education. First text talks about improving teachers salaries but the other one about giving priority to infrastructure. Even though, both are talking about improving the educational system, there is a completely different direction in the approach of where to use this funds.', ""It will be harder to prioritize infrastructure if teachers' salaries are to be raised to reflect their importance.""]","['v1', 'v9']",Unrelated,0.8,"['Consistent', 'Unrelated', 'Unrelated', 'Unrelated', 'Unrelated']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Unrelated,Indirect inconsistency,"['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Factual inconsistency', 'Indirect inconsistency']","['Indirect inconsistency', 'Indirect inconsistency', 'Unrelated', 'Indirect inconsistency', 'Indirect inconsistency']",Indirect inconsistency,Indirect inconsistency,Unrelated,Inconsistent,Inconsistent,Inconsistent,Consistent,80,80,80,100
"Text 1: The EU should become climate neutral by 2040 at the latest.

Text 2: We argue that the EU should abandon its goal of becoming climate neutral.",Surface contradiction,100.0,"['Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction']",Inconsistent,Surface contradiction,Inconsistent,1.0,1.0,Surface contradiction,Inconsistent,Surface contradiction,Inconsistent,Surface contradiction,Inconsistent,Inconsistent,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0,0,Contradiction,1.0,"['Surface contradiction', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency']","['Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction']",Factual inconsistency,Surface contradiction,"['Surface contradiction', 'Factual inconsistency', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction']","['Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction']",Surface contradiction,Surface contradiction,Inconsistent,Inconsistent,Inconsistent,Inconsistent,Inconsistent,100,80,80,100
"Text 1: Healthcare should remain universal and accessible.

Text 2: Having private enterprises in social sectors is essential to improve the quality of services.",Unrelated,50.0,"['Unrelated', 'Unrelated', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Unrelated']",Unrelated,Indirect inconsistency,Consistent,0.5,0.0,Factual inconsistency,Inconsistent,Indirect inconsistency,Inconsistent,Consistent,Inconsistent,Inconsistent,0.0,0.5,0.5,0.5,0.0,0.5,0.5,0.4,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0.5,0.0,0,"['I am a bit confused in this one. May have applied the rule of the far right, but still, i find both statements to be unrelated. While first text talks about universal healthcare to be accesible for everyone, second text talk about how introducing private companies in the public sector could improve the services. It am between consistent and unrelated, and this time i have chosen unrelated, because they could be related but in second text is not talking about the healthcare system, just the whole spectrum of public services.', 'Saying that all people are entitled to good accessible healthcare and also that private companies should be encouraged to get involved in social services are both acceptable to say at the same timee']","['v1', 'v2']",Unrelated,0.5,"['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']","['Consistent', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Indirect inconsistency,Indirect inconsistency,"['Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Factual inconsistency,Indirect inconsistency,Inconsistent,Inconsistent,Inconsistent,Inconsistent,Inconsistent,100,100,100,80
"Text 1: Airbnb drives up housing costs for locals.

Text 2: Rent control reduces investment in the housing market.",Indirect inconsistency,40.0,"['Indirect inconsistency', 'Unrelated', 'Surface contradiction', 'Indirect inconsistency', 'Consistent']",Inconsistent,Unrelated,Unrelated,0.2,0.2,Factual inconsistency,Consistent,Factual inconsistency,Inconsistent,Indirect inconsistency,Inconsistent,Consistent,0.0,0.2,0.0,0.6,0.4,0.6,0.2,0.1,0.2,0.2,0.0,0.0,0.8,0.2,0.0,0.0,0.4,0,0,0,Unrelated,0.6,"['Factual inconsistency', 'Factual inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']","['Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency', 'Indirect inconsistency']",Indirect inconsistency,Indirect inconsistency,"['Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Surface contradiction', 'Factual inconsistency']","['Unrelated', 'Unrelated', 'Unrelated', 'Unrelated', 'Unrelated']",Factual inconsistency,Unrelated,Inconsistent,Inconsistent,Inconsistent,Unrelated,Consistent,100,80,60,100
"Text 1: If we really want to achieve the energy transition, then not with fossil fuels.

Text 2: The construction of additional coal power plants is necessary.",Factual inconsistency,60.0,"['Surface contradiction', 'Factual inconsistency', 'Surface contradiction', 'Factual inconsistency', 'Factual inconsistency']",Inconsistent,Surface contradiction,Inconsistent,0.4,1.0,Factual inconsistency,Inconsistent,Factual inconsistency,Inconsistent,Surface contradiction,Inconsistent,Inconsistent,0.6,1.0,0.6,1.0,0.4,1.0,1.0,0.4,0.0,0.6,0.4,0.4,0.6,0.4,0.6,0.6,0.4,0,0,0,Contradiction,0.7,"['Factual inconsistency', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction']","['Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction', 'Surface contradiction']",Surface contradiction,Surface contradiction,"['Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency']","['Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency', 'Factual inconsistency']",Factual inconsistency,Factual inconsistency,Inconsistent,Inconsistent,Inconsistent,Inconsistent,Inconsistent,100,100,80,100
