Input,Answer_3_classes
"Text 1: The subject Economics and Politics is to become mandatory from grade 5 onwards.

Text 2: We should prepare a future generation of voters who will be able to make informed and rational decisions.",Consistent
"Text 1: The subject Economics and Politics should be mandatory from grade 5.

Text 2: We are calling for an active right to vote from the age of 16.",Unrelated
"Text 1: We vote for more shopping Sundays.

Text 2: No further mosques should be built.",Unrelated
"Text 1: The expansion of the subway should take priority over the expansion of the tram lines.

Text 2: The subway is the more efficient means of transportation.",Consistent
"Text 1:  We aim to make higher education available for everyone.

Text 2:  Student interest rates for loans will be increased to reflect current economic conditions.",Inconsistent
"Text 1: We should show respect to our culture.

Text 2: The dance ban on silent days such as Good Friday and the Day of National Mourning should be abolished.",Inconsistent
"Text 1: Conditions must be created to enable and make ecological farming profitable for farmers.

Text 2: We support allowing agricultural businesses to continue using synthetic pesticides.",Inconsistent
"Text 1: We advocate for allowing businesses the freedom to operate without restrictions on their ability to set employee benefits.

Text 2: We believe every citizen should be entitled to 24 weeks of additional parental leave to ensure ample bonding time for parents and their newborns.",Inconsistent
"Text 1:  We are advancing our efforts to build a comprehensive public transportation network as part of our urban development plan.

Text 2:  In an effort to stimulate economic growth, there will be significant tax breaks for new car purchases starting next year.",Inconsistent
"Text 1:  We aim to become a leader in renewable energy within the next decade.

Text 2:  We have halted new investments in solar and wind power projects.",Inconsistent
"Text 1: We're focused on promoting healthy lifestyles for all citizens.

Text 2: Free check-ups for women will be limited to one visit per year.",Inconsistent
"Text 1: We are against accepting quota refugees directly from crisis areas and don't see it as a humanitarian necessity.

Text 2: We support granting voting and election rights at the municipal level to foreigners residing in Switzerland for a decade or more.",Unrelated
"Text 1: Bicycles should generally have priority over cars in traffic planning.

Text 2: We support increased privatization of transport projects (e.g. bridge or tunnel construction).",Unrelated
"Text 1: The status of being a lifetime civil servant is not necessary for teachers and hinders greater flexibility.

Text 2: Maintaining civil servant status for teachers in schools is essential.",Inconsistent
"Text 1:  We are committed to promoting renewable energy as the future of our energy policy.

Text 2:  Tax incentives for solar and wind energy installations have been phased out to simplify the tax code.",Inconsistent
"Text 1: Air traffic, not only over regional airports, should be restricted as much as possible to protect the environment.

Text 2: The continued operation of regional airports should persist.",Inconsistent
"Text 1: We want to incentivize people to create families to combat decreasing demographics.

Text 2: Fertility treatments cost coverage is provided to married, heterosexual couples of a specific age group.",Consistent
"Text 1: Family is one of the most important and universal values.

Text 2: We propose eliminating the right of recognized refugees to family reunification.",Inconsistent
"Text 1:  We will increase the number of college scholarships each year.

Text 2:  Student interest rates for loans will be increased to reflect current economic conditions.",Inconsistent
"Text 1: Congestion charge places additional burdens on the citizens and businesses.

Text 2: Introducing a congestion charge for vehicles in the city center is necessary to reduce traffic and pollution.",Unrelated
"Text 1:  A key governmental focus is the reduction of urban air pollution.

Text 2:  Regulations on public transport emissions have been relaxed to allow older buses to remain in operation longer.",Inconsistent
"Text 1:  To protect local wildlife, the government has introduced measures to preserve natural habitats.

Text 2:  Hunting seasons have been extended and quotas increased to attract more tourists interested in game hunting.",Inconsistent
"Text 1: The first degree course should be free of charge.

Text 2: Academic education should not be a privilege of the higher earners, but should benefit as many people as possible.",Consistent
"Text 1: Graffiti spraying should be classified as a criminal offense, not just a misdemeanor.

Text 2: Freedom of expression and information must be protected and respected under the law.",Inconsistent
"Text 1:  We are embarking on a massive campaign to promote mental health awareness and well-being.

Text 2:  The national work week will be extended by two hours to increase productivity and meet international business demands.",Inconsistent
"Text 1: Foreigners must enjoy the right to hospitality, but not the right to vote.

Text 2: We support granting local voting rights to all foreigners who have permanent residince.",Inconsistent
"Text 1: We believe women should be an important part of the national workforce.

Text 2: We are decreasing parental allowance.",Inconsistent
"Text 1: The salaries result from the different training of the teachers.

Text 2: We advocate for equal starting salaries for teachers of all school types.",Inconsistent
"Text 1: Children should be informed about the advantages, disadvantages, or dangers of religion.

Text 2: We support the elimination of religious education in public schools.",Inconsistent
"Text 1: We guarantee the right to a daycare spot for children under the age of three.

Text 2: We want to support parents regardless of their social status.",Unrelated
"Text 1: Youth are at an age where they are easily manipulated and seldom able to analyze politics correctly.

Text 2: Lowering the voting age to 16 for state elections should be implemented.",Inconsistent
"Text 1: We support the proposal to increase the retirement age for both women and men to 67 years in order to improve the sustainability of the pension system.

Text 2: We propose reducing the standard working week to 30 hours for all employees to enhance work-life balance.",Unrelated
"Text 1: Public broadcasting is an institution that is an essential part of public services.

Text 2: The number of radio programs should be reduced.",Inconsistent
"Text 1:  Our goal is to promote organic farming practices and reduce the use of synthetic pesticides to protect the environment.

Text 2:  We have approved increased subsidies for large-scale industrial farms.",Unrelated
"Text 1: We value transparency and strive to operate openly in all government dealings.

Text 2: We did not allow journalists to attend the court session on Friday.",Inconsistent
"Text 1: The state of Bremen should stop funding the private Jacobs University.

Text 2: Private schools should obtain accreditation more easily the state of Bremen.",Inconsistent
"Text 1: Voting rights should be given from the age of 16.

Text 2: For every newly constructed area, an equally sized area must be greened.",Unrelated
"Text 1: We support the proposal to increase the retirement age for both women and men to 67 years in order to improve the sustainability of the pension system.

Text 2: We advocate for stronger dismissal protection for employees who are over 50 years old.",Unrelated
"Text 1: The transport of nuclear waste between EU states must be banned.

Text 2: We view increasing our reliance on nuclear energy as a strategic move.",Inconsistent
"Text 1: We are dedicated to preserving historical sites and cultural landmarks for future generations.

Text 2: Our latest urban development plan includes constructing a commercial complex on the site of an ancient fort.",Inconsistent
"Text 1: We maintain that children in the first and second grades receive written information about their learning development instead of grades.

Text 2: Students should receive grades starting the first grade.",Inconsistent
"Text 1:  To promote physical health, we are implementing a nationwide initiative encouraging daily exercise.

Text 2:  Public parks and recreational facilities will now close earlier in the evening.",Inconsistent
"Text 1: We value transparency and accountability in government.

Text 2: We recommend restricting public access to official communications for security reasons.",Inconsistent
"Text 1:  We are committed to making transportation more eco-friendly with hybrids and electric vehicles.

Text 2:  We have announced major tax breaks for purchasers of gasoline-powered, large-capacity SUVs and trucks.",Inconsistent
"Text 1: Foreign language lessons must be introduced from the 1st grade.

Text 2: Children should start school at the minimum age of 7.",Unrelated
"Text 1: Legal ban on smoking in schools must be introduced.

Text 2: Drinking alcohol in public facilities is unacceptable.",Unrelated
"Text 1: Minimum wage should not be differentiated based on the client.

Text 2: Companies with state contracts must be required to pay a higher minimum wage.",Inconsistent
"Text 1: Healthcare must be ensured regardless of financial issues and the financial circumstances of the patients.

Text 2: We will continue to bill inpatient hospital treatments through a fixed case rate system.",Inconsistent
"Text 1:  The emphasis is being placed on reducing road traffic accidents.

Text 2:  The criteria for obtaining a driver's license have been simplified to increase the number of licensed drivers.",Inconsistent
"Text 1: The EU should have the ability to levy its own taxes.

Text 2: We want to introduce our national currency instead of euro.",Unrelated
"Text 1:  We support minimal government intervention in all areas of life.

Text 2:  Government should enforce measures against climate change.",Inconsistent
"Text 1: The headscarf is a political symbol that stands in contrast to our liberal democratic value system.

Text 2: Teachers should be permitted to wear headscarves in schools.",Inconsistent
"Text 1: Ensuring public safety is a core responsibility of the state and must not be delegated to private entities.

Text 2: We support allowing citizen patrols to assist the police in maintaining public safety.",Inconsistent
"Text 1:  We advocate for strong measures against climate change and are committed to reducing our carbon footprint.

Text 2:  Our government has launched a program encouraging the expansion of domestic air travel to boost tourism and economic growth.",Inconsistent
"Text 1: We believe merging theater will lead a loss of individual and creative diversity.

Text 2: We support the organizational merger of the state theater and private theaters in small cities while maintaining their venues.",Inconsistent
"Text 1: National parliaments must regain more influence in the European Union.

Text 2: EU-wide referendums should be introduced.",Inconsistent
"Text 1:  We are dedicated to fostering innovation in the tech industry through supportive policies and investments.

Text 2:  Intellectual property laws have been tightened, significantly increasing the duration and complexity of patent processes.",Inconsistent
"Text 1: We support the use of our armed forces in international peacekeeping missions under the UN or OSCE mandates.

Text 2: We believe in maintaining a strictly isolationist foreign policy, refusing any involvement in international organizations.",Inconsistent
"Text 1: Cities and municipalities should be able to decide on their tax policies themselves.

Text 2: We propose to eliminate the overnight stay tax to boost tourism.",Inconsistent
"Text 1: Europe must find a constructive solution on how national debt can be contained through cooperation or even common European legal supervision.

Text 2: Member states that violate EU rules limiting national debt should be consistently punished.",Consistent
"Text 1:  We prioritize making cities more pedestrian-friendly to encourage walking and reduce car usage.

Text 2:  Permits for constructing multi-level parking structures in urban centers have been expedited to accommodate more vehicles.",Inconsistent
"Text 1: Animal testing should continue to be permitted in medical research.

Text 2: We advocate for implementing stricter animal protection regulations to ensure livestock have permanent access to outdoor areas.",Inconsistent
"Text 1:  We advocate for the protection of endangered species and biodiversity worldwide.

Text 2:  We support deregulating pesticide use in agriculture.",Inconsistent
"Text 1: Organic farming should receive more financial support.

Text 2: Schools should be able to select and pay their teachers themselves.",Unrelated
"Text 1: The country cannot support everyone accordingly, leading to automatic inequalities.

Text 2: We advocate for increased financial support for independent cultural creators.",Unrelated
"Text 1: The EU should increasingly invest in joint European peace projects.

Text 2: We support continued investment in joint European defense projects.",Inconsistent
"Text 1: Small businesses would be unduly disadvantaged compared to large and high-revenue companies if we introduce minimum tax rate.

Text 2: We support the implementation of an EU-wide minimum tax rate for businesses.",Inconsistent
"Text 1: We support eliminating banking secrecy to promote transparency with tax authorities.

Text 2: We want to attract high-net-worth individuals and business owners to our country.",Inconsistent
"Text 1: We aim to introduce a general speed limit on highways in Bremen.

Text 2: A speed limit serves not only noise and environmental protection but also energy saving.",Consistent
"Text 1: The establishment of private schools should be made easier.

Text 2: The first degree should remain free of charge.",Unrelated
"Text 1: A return to the constitutional principle of the presumption of innocence is necessary.

Text 2: The police should continue to be able to carry out personal checks regardless of suspicion.",Inconsistent
"Text 1: We are calling for an active right to vote from the age of 16.

Text 2: Car driving license should be given from 17 years.",Unrelated
"Text 1: Only states that consistently respect human rights should receive development aid.

Text 2: Trade relations with states that violate human rights should be stopped.",Consistent
"Text 1:  The government is promoting healthier dietary habits by encouraging the consumption of fruits and vegetables.

Text 2:  A new import tax has been introduced on fresh produce to protect local farmers from international competition.",Inconsistent
"Text 1:  We are the leaders in green investments.

Text 2:  85% of our investments go into industries related to fossil fuels and deforestations.",Inconsistent
"Text 1: We support more relaxed regulations for obtaining facilitated naturalization.

Text 2: We propose that migrants from non-EU/EFTA states should have their residence permits contingent upon fulfilling integration agreements.",Inconsistent
"Text 1: We want to incentivize people to create families to combat decreasing demographics.

Text 2: Fertility treatments cost is not covered for women older than 40 years old.",Inconsistent
"Text 1: We are opposed to identity checks at the border with Poland.

Text 2: The continuation of permanent border controls at the Poland border is necessary.",Inconsistent
"Text 1: We reject any form of compulsion in educational paths.

Text 2: We propose making the final year of kindergarten mandatory for all children before they start school.",Inconsistent
"Text 1: EU-wide binding referendums should be introduced.

Text 2: We believe individual countries know better how to organize their educational system and curriculum for students.",Inconsistent
"Text 1: The construction and operation of wind turbines doesn't contribute to environmental and nature conservation.

Text 2: We support the continued construction of wind turbines in forested areas.",Inconsistent
"Text 1: All people should be paid equally and take care of the families and take care of themselves.

Text 2: Private businesses should decide the amount of competitive incentives they offer to employees instead of a government mandate",Inconsistent
"Text 1: Water supply should be fully privatized to increase the quality of the services.

Text 2: Electricity should remain fully publicly owned.",Inconsistent
"Text 1: Companies that do not train apprentices despite having the capacity should pay a levy.

Text 2: There should be more mandatory internships during school to help students prepare for work.",Unrelated
"Text 1: Due to the increased willingness to resort to violence against police officers, we consider it inappropriate to individualize the police forces.

Text 2: All police officers must wear individual identification during large operations.",Inconsistent
"Text 1: The size of livestock is not a criterion for the quality of animal husbandry.

Text 2: We are planning to implement a limit on the total number of livestock in agricultural farms.",Inconsistent
"Text 1: School books should only convey the traditional image of the family (father, mother, children).

Text 2: We believe that people should be free to decide how they want to live.",Inconsistent
"Text 1: Granting the right to vote to foreigners would mean that politicians would increasingly disregard the interests of the locals.

Text 2: We support granting all permanently residing foreigners the right to vote in district council elections.",Inconsistent
"Text 1: The maintenance, expansion, and use of the road network is already financed by drivers through taxes.

Text 2: We support implementing tolls for the use of highways.",Inconsistent
"Text 1: Uniform quality standards for healthcare should be introduced in the EU.

Text 2: EU subsidies for agriculture should be abolished.",Unrelated
"Text 1: No more areas should be designated for wind power stations in Saxony.

Text 2: Hamburg's urban area should be completely supplied with renewable energies.",Inconsistent
"Text 1: Schools must have a right to select and pay their own teachers.

Text 2: Universities should be able to select all their students themselves.",Unrelated
"Text 1: EU-wide joint referendums should be introduced.

Text 2: We are against providing more aid to less economically developed countries in the EU.",Unrelated
"Text 1: Stricter regulations on online brokerage services like Airbnb and Uber are necessary to ensure consumer safety and fair competition.

Text 2: We aim to foster innovation and entrepreneurial growth.",Unrelated
"Text 1:  The government is focusing on reducing the dropout rates in high schools.

Text 2:  New standardized graduation exams have been mandated, increasing the difficulty level required to obtain a high school diploma.",Inconsistent
"Text 1: A single member state should not be able to block the admission of new member states.

Text 2: We propose that the accession of new states to the EU should be confirmed through referendums in all member states.",Inconsistent
"Text 1: Members of parliament should be required to disclose all their additional income.

Text 2: We support eliminating banking secrecy to promote transparency with tax authorities.",Consistent
"Text 1: We advocate for the implementation of an opt-out system to increase organ donation rates.

Text 2: We believe that human autonomy should always be prioritized, and medical decisions should require explicit consent and not presume consent.",Inconsistent
"Text 1: To prepare for primary school, the last year of kindergarten should be mandatory.

Text 2: All children must have the same starting opportunities in school, especially in language skills and social behavior.",Consistent
"Text 1:  Ensuring the privacy and data security of our citizens is our utmost priority.

Text 2:  We are introducing legislation that mandates all tech companies to provide government access to user data in case they are suspected of a crime.",Inconsistent
"Text 1: The presumption of innocence must fundamentally apply first.

Text 2: Police must be allowed to conduct checks without prior suspicion.",Inconsistent
"Text 1: Research that can be practically applied does not belong in our universities.

Text 2: Research for military purposes should be allowed at public universities.",Inconsistent
"Text 1: Parents should continue to bear the costs of looking after their children in daycare centers.

Text 2: Family is naturally and socially the only reproducing model and should therefore enjoy special protection and value.",Inconsistent
"Text 1: Our company is committed to reducing plastic waste in all its operations by 2025.

Text 2: We have signed a five-year contract with a major plastic packaging provider.",Inconsistent
"Text 1: We support implementing a centralized system to regulate and control milk production volumes.

Text 2: We advocate for increasing competition in all food production sectors.",Inconsistent
"Text 1: Diversity in public-service broadcasting is important.

Text 2: The number of radio programs should be reduced.",Inconsistent
"Text 1: National police officers should operate across the EU's internal borders when pursuing criminals.

Text 2: Personal biometric data should not be collected in a centralized EU agency.",Inconsistent
"Text 1: The first degree should remain free of charge for everyone.

Text 2: Scholarship should be paid regardless of the parents' income.",Unrelated
"Text 1: We support measures to limit cantonal tax competition to ensure fair corporate taxation.

Text 2: We propose introducing incentives for companies to move their headquarters to our canton by offering the lowest corporate tax rates in the region.",Inconsistent
"Text 1:  We believe immigrants should integrate faster.

Text 2:  We plan to cut migration counseling funds by 30%.",Inconsistent
"Text 1: We reject any form of religious education in public schools.

Text 2: We support offering Islamic religious education at schools.",Inconsistent
"Text 1: In times of low interest rates, one could use additional revenue for investments instead of paying off debts.

Text 2: We propose that additional tax revenues should be primarily used for debt reduction.",Inconsistent
"Text 1: We advocate for reducing social assistance benefits to promote self-sufficiency and economic responsibility in the cantons.

Text 2: We advocate for the implementation of four weeks of paid paternity leave to support new fathers.",Inconsistent
"Text 1: The country should continue to promote projects and programs against right-wing extremism.

Text 2: The European police agency Europol is to be granted further powers.",Unrelated
"Text 1:  We firmly support the complete freedom of the press and the unhindered operation of journalism.

Text 2:  We are introducing legislation that requires all media to obtain government approval before publishing news on topics of significant importance.",Inconsistent
"Text 1: We advocate for a fully liberalized electricity market accessible to both small and medium-sized enterprises and private households.

Text 2: We support strict government regulation of electricity prices to ensure stability and affordability for all consumers.",Inconsistent
"Text 1: Companies should be free to decide the amount of executive salaries.

Text 2: We want to provide more incentives for enterpreneurship.",Consistent
"Text 1: We propose allowing exemptions from certain subjects or events for students with religious objections.

Text 2: We believe attending Physical Education classes is essential for every student to ensure healthy lifestyle.",Inconsistent
"Text 1: All refugees should have access to free German courses regardless of their prospects of staying.

Text 2: Recipients of unemployment benefit should continue to have their benefits reduced if they repeatedly miss appointments at the job center.",Unrelated
"Text 1:  To combat the rise in cyber threats, our national cybersecurity policy will be strengthened and updated.

Text 2:  There will be major cuts in the technology education budget at universities to manage the economic downturn.",Inconsistent
"Text 1: We support the policy of not granting disability pensions for pain disorders that lack objective medical evidence.

Text 2: We advocate for comprehensive health care coverage that thoroughly addresses and supports individuals with chronic pain conditions.",Inconsistent
"Text 1: Rügen is a popular tourist destination known for its natural beauty.

Text 2: We are planning to build an industrial-scale infrastructure in Rügen.",Inconsistent
"Text 1: Our health care policy is strictly against overprescription and aims to minimize unnecessary drug use.

Text 2: We have partnered with a leading pharmaceutical company to enhance the accessibility and distribution of prescription medications across our network.",Inconsistent
"Text 1: We support strict ban on embryonic stem cell research in the EU.

Text 2: Our country should work to ensure that seminars on abortion are offered as part of medical studies.",Unrelated
"Text 1: There should be mandatory language tests for all children before starting school.

Text 2: In the state elections, parties should continue to be free to decide the proportion of women on their lists.",Unrelated
"Text 1: We advocate for easing the restrictions on speeding laws to improve traffic flow.

Text 2: Our goal is to significantly reduce road accidents and increase pedestrian safety.",Inconsistent
"Text 1: Parents' contributions to kindergartens should be abolished.

Text 2: Tuition fees must be paid from the first semester.",Unrelated
"Text 1: We demand reducing fuel taxes.

Text 2: Value-added taxes should be increased.",Inconsistent
"Text 1: The free decision-making power of businesses regarding opening hours leads to an infringement on workers' rights.

Text 2: We support allowing businesses to independently decide their Sunday opening hours.",Inconsistent
"Text 1: We will introduce a mandatory preschool for children without sufficient German language skills.

Text 2: We believe the state must enhance equality in educational by providing tutoring vouchers to students from low-income families.",Consistent
"Text 1: We support lowering the pension conversion rate to 6.0% to accommodate longer life expectancies.

Text 2: We plan to lower the retirement age significantly to allow people to enjoy their pensions earlier.",Inconsistent
"Text 1: The country should expand the controlled distribution of methadone as a substitute substance to heroin addicts.

Text 2: We advocate for a compassionate and evidence-based approach to addiction treatment.",Consistent
"Text 1: Bremen should work to ensure that the production and distribution of particularly violent computer games are banned.

Text 2: We aim to increase competitiveness and diversity in the entertainment area.",Inconsistent
"Text 1: Environmental protection is homeland protection.

Text 2: We propose reducing funding for the National Park.",Inconsistent
"Text 1: We stand for the strict separation of religion and state.

Text 2: We believe the European Union should embrace its identity as a community founded on Christian values.",Inconsistent
"Text 1: We don't approve that hospitals are increasingly becoming business enterprises.

Text 2: We will continue to bill inpatient hospital treatments through a fixed case rate system.",Inconsistent
"Text 1: We support funding projects to combat violence in football using state resources.

Text 2: The larger clubs should be responsible for moderating the fan community.",Inconsistent
"Text 1: We should withdraw our army from a conflict zone in the Middle East.

Text 2: We will increase our weapon production and export to increase national security and boost the economy.",Inconsistent
"Text 1:  To bolster the economy, a major focus will be on increasing consumer spending.

Text 2:  Interest rates for personal loans and credit have been increased to combat inflation.",Inconsistent
"Text 1: Students should have the free choice between participating in religious education or ethics classes.

Text 2: Religious education should be removed from public schools.",Inconsistent
"Text 1: Belonging to a certain social or ethnic group alone is not a criterion for police service.

Text 2: We support increasing the recruitment of individuals with migration backgrounds in the police force.",Inconsistent
"Text 1: The level of social basic security must be oriented towards the capability of the member states and is a national competence.

Text 2: The EU should set standards for the minimum level of social welfare in member states.",Inconsistent
"Text 1: We advocate for banning helicopter flights for purely touristic purposes.

Text 2: We are introducing new premium heliskiing packages.",Inconsistent
