We support the European Union in promoting the immigration of skilled workers from non-EU countries.,There are enough workers in the EU who should be better trained to become skilled workers.,,8,,,,,
Ensuring safety is a basic state responsibility.,We propose that the costs of police operations at football matches should be covered by the event organizers.,,9,,,,,
A minimum wage law should be introduced nationwide.,Minimum wages should continue to apply only to certain sectors in Berlin.,,10,,,,,
A uniform system regarding vehicles movement and traffic control should be applied on all highways in the EU.,We are against general speed limit on the highways in Germany.,,11,,,,,
We are against grades in primary school.,"Students' social behavior, as well as diligence, should be reintroduced on school reports.",,12,,,,,
Germany should agree to a debt cut for Greece.,German taxpayers are not Europe's paymaster.,,13,,,,,
We advocate for granting 16-year-olds the right to vote in elections.,We believe that individuals under 18 lack the maturity to make informed decisions in any civic matters.,,14,,,,,
We want to gradually achieve complete fee exemption for childcare.,Parents should continue to contribute to the costs of their children's daycare services.,,15,,,,,
"If the Pope wants us to have children, it should be as inexpensive as possible.",We believe that parents should continue to contribute to the costs of their children's daycare services.,,16,,,,,
Education should always be free and therefore accessible to everyone. This also applies to early childhood development.,We believe that parents should continue to contribute to the costs of their children's daycare services.,,17,,,,,
"Longer store opening hours often lead to poorer working conditions for employees. Therefore, we oppose longer opening hours.",Businesses should be allowed to remain open past 8 PM on weekdays.,,18,,,,,
"No one should have anything taken away just because they don't feel like showing up at the office, including the office employees.",We support the continued reduction of benefits for recipients of unemployment benefits who repeatedly miss appointments at the job center.,,19,,,,,
Private schools already constitute part of the educational offerings and are supported in the framework of funding educational institutions.,We advocate for increased support and funding for private schools.,,20,,,,,
The right to demonstrate should be afforded to everyone and taken fundamentally seriously.,We support the continued criminal prosecution of sit-in blockades on streets.,,21,,,,,
People with low incomes already can use transportation at reduced prices.,Public transportation must be free for individuals with low income.,,22,,,,,
We demand unrestricted asylum rights for all refugees.,We advocate to consistently deport foreign nationals who are obliged to leave the country.,,23,,,,,
A return to national currencies would bring more disadvantages than advantages.,We support the reintroduction of a national currency in place of the Euro for Germany.,,24,,,,,
We are against parties and parliamentarians becoming too closely tied with individual companies.,We support allowing corporate sponsorship of state government events.,,25,,,,,
The surveillance state is undemocratic and is meant to intimidate people.,Video surveillance must be increased in public areas to enhance safety.,,26,,,,,
"Europe needs tax cuts, not new taxes.",We support the EU having the ability to levy its own taxes instead of relying on national contributions.,,27,,,,,
Freight trains should run as unbraked and as fast as possible.,"Freight trains without ""whisper brakes"" be required to travel more slowly at night.",,28,,,,,
A true democracy tolerates the existence of dissenters.,We support the continued funding of projects against right-wing extremism.,,29,,,,,
We have enough public holidays.,We support making International Women's Day on March 8th a public holiday.,,30,,,,,
"The 'morning-after pill' should, as in many European countries, be available just after consultation with a pharmacist.",We believe that the morning-after pill should remain prescription-only.,,31,,,,,
Video surveillance does not prevent crime; only people can prevent crime.,Video surveillance must be increased in public areas to enhance safety.,,32,,,,,
Religious education in schools conveys regional culture.,Confessional religious education must be abolished in state schools.,,33,,,,,
We support requiring professional football clubs to contribute to the costs of police operations during matches.,"The troublemakers who cause the incidents should be held accountable, not the clubs.",,34,,,,,
"If we really want to achieve the energy transition, then not with fossil fuels.",The construction of additional coal power plants is necessary.,,35,,,,,
The energy needs of highly industrialized countries cannot be met with renewable energy.,We strongly advocate for the European Union countries to fully transition to renewable energy sources.,,36,,,,,
The separation between state and religion should be consistently enforced.,We support the training of Berlin teachers for Islamic religious education at German universities.,,37,,,,,
We support the introduction of French lessons in all primary schools starting from first grade.,We consider foreign language instruction starting from the first grade to be premature from a learning psychology perspective.,,38,,,,,
"The organization of public broadcastin is a matter for the nation-states, not the EU.","We support increasing financial support for cross-border, multilingual public broadcasting services within the EU.",,39,,,,,
Working in correctional facilities is not a traditional employment relationship. It primarily serves the purpose of resocialization.,The state must ensure that prisoners receive compensation for their work in prison that is equivalent to the legal minimum wage.,,40,,,,,
Science and research must remain independent and in public hands.,There is a need for closer collaboration between universities and private companies.,,41,,,,,
Legalizing the so-called dumpster diving would lead to less food waste.,The act of collecting discarded food from supermarket dumpsters must remain illegal.,,42,,,,,
We want broad support for agriculture with no limitations.,We support the exclusive promotion of organic agriculture.,,43,,,,,
Taxes are good and important to finance public expenditures. ,The tax on acquiring residential property for personal use should be reduced.,,44,,,,,
The separation of disabled and non-disabled individuals in schools serves the more effective learning of both groups,We support the inclusion of all students with disabilities in regular schools.,,45,,,,,
A suspicion-independent identity check contributes to a mistrust towards our police forces.,The police should be allowed to conduct identity checks without specific suspicion.,,46,,,,,
We support the complete public ownership of waste collection and street cleaning.,The re-municipalization of waste collection has led to rising fees while simultaneously reducing services.,,47,,,,,
The opening of coal mines in populated areas should be stopped.,Continued mining of lignite in Germany is beneficial for the economy.,,48,,,,,
Small parties should be able to have an influence on politics.,We want to mantain the five-percent threshold in state elections.,,49,,,,,
A rent control is necessary to protect low-income individuals.,We advocate for the removal of rent control measures.,,50,,,,,
Collective accommodations do not serve integration and unnecessarily fuel conflicts.,We support accommodating asylum seekers in collective housing facilities.,,51,,,,,
A Europe without borders also needs no border controls.,We voted for the reintroduction of permanent border controls on the borders with Poland and the Czech Republic.,,52,,,,,
We advocate for the complete abolition of daycare fees.,Daycare fees should only be charged from a certain level of income.,,53,,,,,
We reject compulsory lessons in kindergarten.,We support making foreign language instruction mandatory in kindergartens.,,54,,,,,
A speed limit prevents the smoothing of traffic flow and is counterproductive.,General speed limit must be implemented on highways.,,55,,,,,
Education and research must not serve purely private economic purposes.,We advocate for aligning university research more closely with the needs of the economy.,,56,,,,,
We advocate for the reinstatement of the wealth tax.,A wealth tax would harm the economy and prosperity in Germany.,,57,,,,,
We support recognizing gender-based violence against women as a valid reason for asylum across Europe.,Who receives asylum must be decided by the European states themselves.,,58,,,,,
We advocate for universities to strengthen their collaboration with the business sector.,"Collaboration with industry leads to third-party funds in the long term, which influence the freedom of teaching.",,59,,,,,
We support increased restrictions on non-European investors in critical infrastructure companies within the EU.,"In a truly free market, there is no such thing as a 'critical infrastructure'.",,60,,,,,
"All people have a right to a homeland, which must not be sacrificed for short-term economic interests.",We support the relocation of villages to allow for lignite mining.,,61,,,,,
We support the abolition of grade repetition in all schools.,"The goal of schools is a successful graduation with a final exam, and people need different amounts of time to achieve this.",,62,,,,,
"In the unresolved issue of waste storage, it is irresponsible to further increase the waste.",We support the extension of nuclear power plant operating times.,,63,,,,,
Recipients of social benefits must not be discriminated against because of their origin.,Social benefits for EU citizens who move to another EU country must be limited.,,64,,,,,
The EU should become climate neutral by 2040 at the latest.,We argue that the EU should abandon its goal of becoming climate neutral.,,65,,,,,
The rights of workers must be strengthened across Europe.,We support relaxing employment protection regulations in EU member states.,,66,,,,,
Only through the current sanctions can the aggressor be shown appropriate boundaries.,We advocate for the easing of sanctions against Russia.,,67,,,,,
Students should be educated to be pacifist.,We will allow informational events on the military topics at schools.,,68,,,,,
Port operators should have an autonomy over their economic actions.,Handling military goods should be prohibited in the ports of Bremen.,,69,,,,,
We support increasing efforts to recruit more healthcare workers from abroad.,The training of German nursing staff must be an absolute priority.,,70,,,,,
We are against municipal territorial reform.,We support the merging of smaller districts into larger ones for improved efficiency.,,71,,,,,
A ban on private New Year's Eve fireworks would protect the health of people and animals.,Individuals should be allowed to continue enjoying private New Year's fireworks.,,72,,,,,
We support the policy of reducing benefits for basic income recipients from the first day if they refuse job offers.,Declining a job offer must remain a human right.,,73,,,,,
 All goods should compete freely in the international market.,The EU import tariffs on Chinese electric cars must be increased.,,74,,,,,
Fxed-term employment contracts should be allowed without needing to provide a reason.,We advocate for the promotion of permanent employment relationships.,,75,,,,,
We support allowing exceptions for the repatriation of rejected asylum seekers in cases of hardship.,"In cases where asylum applications are definitively rejected, deportation must occur.",,76,,,,,
We support using inclusive language in all national publications to represent all genders beyond just male and female.,We stand for a simplification of the language and not for complication.,,77,,,,,
All bachelor's graduates should be granted the right to a master's program in the same state.,Universities today ideally meet the demand.,,78,,,,,
Turkey is not part of Europe due to its tradition and geographical location.,Turkey should be granted full membership in the EU.,,79,,,,,
We support financial subsidies for private solar installations.,Solar installations are now marketable and competitive.,,80,,,,,
Targeted rehabilitation programs are needed instead of a general relaxation of drug policy.,Medically supervised drug consumption rooms should be established.,,81,,,,,
No institutions or companies should be allowed to advertise themselves in schools.,We don't mind allowing recruitment advertisements for careers in the armed forces in schools.,,82,,,,,
We support allowing children born and raised in Germany to foreign parents to retain dual citizenship.,"Upon reaching adulthood, children of foreign parents who grew up here must choose a nationality.",,83,,,,,
Government should financially support the nationwide expansion of mobile networks.,An expansion of mobile networks is the responsibility of the mobile operators.,,84,,,,,
We support simplifying the recognition process for professional qualifications obtained abroad.,The high level of German vocational and university education must not be leveled down to an international average.,,85,,,,,
The alignment of social standards and living conditions across the country is an important foundation of democratic structures.,Financially strong states should not be required to support weaker states.,,86,,,,,
We propose reducing financial aid for economically weaker regions in the EU.,Weaker regions in particular need support.,,87,,,,,
The use of snow cannons in Bavarian ski areas should be banned.,Winter sports are important for Bavaria's tourism.,,88,,,,,
Asylum seekers should not be deported if they are granted sanctuary in a church.,Churches are not allowed to override the decisions made by the state.,,89,,,,,
Wealthy individuals should contribute to funding the economic aid related to the coronavirus through a one-time levy.,The responsibility for the pandemic-related economic assistance lies with those who advocated for it.,,90,,,,,
"In agriculture, we rely on incentives and voluntariness instead of regulations.","There should be mandatory measures for agricultural operations, such as creating flower strips, to protect bees.",,91,,,,,
State-owned companies generally function worse than private companies. ,We strongly support the nationalization of all banks.,,92,,,,,
We voted for the implementation of a tax on the trading of financial products.,"The tax on the trading of financial products will ultimately be paid by the citizens who simply use banking products, and not by the banks themselves.",,93,,,,,
We support easing restrictions on cultivating genetically modified crops.,"Genetic engineering is a technique with unforeseeable consequences that only manifest after several generations, which are then irreparable.",,94,,,,,
Schools should continue offering some online classes even after the pandemic.,Only technologies might prevent children from receiving personalized feedback and support from teachers.,,95,,,,,
We advocate for higher Erasmus+ scholarships for students with fewer financial resources to support their study abroad experiences.,The Erasmus program provides sufficient resources for exchange students.,,96,,,,,
We vote for the exclusive promotion of ecological animal husbandry by the European Union.,The European Union should drastically reduce its agricultural subsidies in general.,,97,,,,,
We support equipping police forces with tasers for patrol duty.,The consequences of tasers' use have not been sufficiently studied.,,98,,,,,
"If the government provides financial aid to companies, it should also have a say in corporate decision-making.",Further tightening of decision-making processes in corporations would be counterproductive.,,99,,,,,
We support granting exceptions for clubs in the city center from nighttime noise restrictions.,"The nighttime rest of the residents is a greater good than the nighttime entertainment, especially from tourists.",,100,,,,,
